version,1.6.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,male
info,season,2019/20
info,date,2019/12/18
info,event,West Indies tour of India
info,match_number,2
info,venue,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
info,city,Visakhapatnam
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,RG Sharma
info,umpire,RJ Tucker
info,umpire,AK Chaudhary
info,reserve_umpire,Nitin Menon
info,tv_umpire,S George
info,match_referee,DC Boon
info,winner,India
info,winner_runs,107
info,player,India,RG Sharma
info,player,India,KL Rahul
info,player,India,V Kohli
info,player,India,SS Iyer
info,player,India,RR Pant
info,player,India,KM Jadhav
info,player,India,RA Jadeja
info,player,India,DL Chahar
info,player,India,Mohammed Shami
info,player,India,SN Thakur
info,player,India,Kuldeep Yadav
info,player,West Indies,E Lewis
info,player,West Indies,SD Hope
info,player,West Indies,SO Hetmyer
info,player,West Indies,RL Chase
info,player,West Indies,N Pooran
info,player,West Indies,KA Pollard
info,player,West Indies,JO Holder
info,player,West Indies,KMA Paul
info,player,West Indies,AS Joseph
info,player,West Indies,K Pierre
info,player,West Indies,SS Cottrell
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Joseph,b0946605
info,registry,people,DC Boon,e79a1fe3
info,registry,people,DL Chahar,23eeb873
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,JO Holder,0f721006
info,registry,people,K Pierre,a61bcb94
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KM Jadhav,99d63244
info,registry,people,KMA Paul,75224f22
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Pooran,3241e3fd
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RL Chase,3feda4fa
info,registry,people,RR Pant,919a3be2
info,registry,people,S George,6d9e5a54
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,V Kohli,ba607b88
ball,1,0.1,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,0.2,India,RG Sharma,KL Rahul,SS Cottrell,0,1,1,,,,,"",""
ball,1,0.3,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,0.4,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,0.5,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,0.6,India,RG Sharma,KL Rahul,SS Cottrell,2,0,,,,,,"",""
ball,1,0.7,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,1.1,India,KL Rahul,RG Sharma,JO Holder,1,0,,,,,,"",""
ball,1,1.2,India,RG Sharma,KL Rahul,JO Holder,1,0,,,,,,"",""
ball,1,1.3,India,KL Rahul,RG Sharma,JO Holder,0,0,,,,,,"",""
ball,1,1.4,India,KL Rahul,RG Sharma,JO Holder,1,0,,,,,,"",""
ball,1,1.5,India,RG Sharma,KL Rahul,JO Holder,0,1,,,,1,,"",""
ball,1,1.6,India,KL Rahul,RG Sharma,JO Holder,0,0,,,,,,"",""
ball,1,2.1,India,RG Sharma,KL Rahul,SS Cottrell,4,0,,,,,,"",""
ball,1,2.2,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,2.3,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,2.4,India,RG Sharma,KL Rahul,SS Cottrell,0,0,,,,,,"",""
ball,1,2.5,India,RG Sharma,KL Rahul,SS Cottrell,1,0,,,,,,"",""
ball,1,2.6,India,KL Rahul,RG Sharma,SS Cottrell,4,0,,,,,,"",""
ball,1,3.1,India,RG Sharma,KL Rahul,JO Holder,0,0,,,,,,"",""
ball,1,3.2,India,RG Sharma,KL Rahul,JO Holder,0,0,,,,,,"",""
ball,1,3.3,India,RG Sharma,KL Rahul,JO Holder,1,0,,,,,,"",""
ball,1,3.4,India,KL Rahul,RG Sharma,JO Holder,1,0,,,,,,"",""
ball,1,3.5,India,RG Sharma,KL Rahul,JO Holder,0,0,,,,,,"",""
ball,1,3.6,India,RG Sharma,KL Rahul,JO Holder,0,0,,,,,,"",""
