version,1.6.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2008/09
info,date,2009/01/23
info,event,Zimbabwe in Bangladesh ODI Series
info,match_number,3
info,venue,Shere Bangla National Stadium
info,city,Mirpur
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,Mashrafe Mortaza
info,umpire,Enamul Haque
info,umpire,Zameer Haider
info,reserve_umpire,Sharfuddoula
info,tv_umpire,AFM Akhtaruddin
info,match_referee,AG Hurst
info,winner,Bangladesh
info,winner_wickets,6
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Mehrab Hossain jnr
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Raqibul Hasan
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Naeem Islam
info,player,Bangladesh,Mashrafe Mortaza
info,player,Bangladesh,Nazmul Hossain
info,player,Bangladesh,Rubel Hossain
info,player,Zimbabwe,V Sibanda
info,player,Zimbabwe,H Masakadza
info,player,Zimbabwe,S Matsikenyeri
info,player,Zimbabwe,T Taibu
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,P Utseya
info,player,Zimbabwe,E Chigumbura
info,player,Zimbabwe,KM Dabengwa
info,player,Zimbabwe,RW Price
info,player,Zimbabwe,EC Rainsford
info,player,Zimbabwe,CB Mpofu
info,registry,people,AFM Akhtaruddin,b786b38f
info,registry,people,AG Hurst,ad7945c6
info,registry,people,CB Mpofu,49691d7a
info,registry,people,E Chigumbura,d2babdd5
info,registry,people,EC Rainsford,f771a151
info,registry,people,Enamul Haque,2ae9be7f
info,registry,people,H Masakadza,31fbf891
info,registry,people,KM Dabengwa,df08c69e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mashrafe Mortaza,e186f49c
info,registry,people,Mehrab Hossain jnr,86cd782f
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,Naeem Islam,02e83ac5
info,registry,people,Nazmul Hossain,5e5eab39
info,registry,people,P Utseya,9de271ef
info,registry,people,RW Price,67af6f81
info,registry,people,Raqibul Hasan,17efdeb8
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,S Matsikenyeri,e7ba1233
info,registry,people,SC Williams,afe57f7a
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Taibu,75de770f
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,V Sibanda,0fdabe05
info,registry,people,Zameer Haider,5537565f
ball,1,0.1,Zimbabwe,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.2,Zimbabwe,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.3,Zimbabwe,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.4,Zimbabwe,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,0.5,Zimbabwe,V Sibanda,H Masakadza,Mashrafe Mortaza,0,0,,,,,,lbw,V Sibanda
ball,1,0.6,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,2,0,,,,,,"",""
ball,1,1.1,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,0,0,,,,,,"",""
ball,1,1.2,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,1,0,,,,,,"",""
ball,1,1.3,Zimbabwe,S Matsikenyeri,H Masakadza,Nazmul Hossain,0,0,,,,,,"",""
ball,1,1.4,Zimbabwe,S Matsikenyeri,H Masakadza,Nazmul Hossain,0,0,,,,,,"",""
ball,1,1.5,Zimbabwe,S Matsikenyeri,H Masakadza,Nazmul Hossain,0,0,,,,,,"",""
ball,1,1.6,Zimbabwe,S Matsikenyeri,H Masakadza,Nazmul Hossain,0,0,,,,,,"",""
ball,1,2.1,Zimbabwe,H Masakadza,S Matsikenyeri,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.2,Zimbabwe,H Masakadza,S Matsikenyeri,Mashrafe Mortaza,0,1,,,1,,,"",""
ball,1,2.3,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.4,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,4,0,,,,,,"",""
ball,1,2.5,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,2.6,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,3.1,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,0,0,,,,,,"",""
ball,1,3.2,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,4,0,,,,,,"",""
ball,1,3.3,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,0,0,,,,,,"",""
ball,1,3.4,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,1,0,,,,,,"",""
ball,1,3.5,Zimbabwe,S Matsikenyeri,H Masakadza,Nazmul Hossain,1,0,,,,,,"",""
ball,1,3.6,Zimbabwe,H Masakadza,S Matsikenyeri,Nazmul Hossain,4,0,,,,,,"",""
ball,1,4.1,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,4.2,Zimbabwe,S Matsikenyeri,H Masakadza,Mashrafe Mortaza,1,0,,,,,,"",""
ball,1,4.3,Zimbabwe,H Masakadza,S Matsikenyeri,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,4.4,Zimbabwe,H Masakadza,S Matsikenyeri,Mashrafe Mortaza,0,0,,,,,,caught,H Masakadza
ball,1,4.5,Zimbabwe,T Taibu,S Matsikenyeri,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,4.6,Zimbabwe,T Taibu,S Matsikenyeri,Mashrafe Mortaza,0,0,,,,,,"",""
ball,1,5.1,Zimbabwe,S Matsikenyeri,T Taibu,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.2,Zimbabwe,S Matsikenyeri,T Taibu,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.3,Zimbabwe,S Matsikenyeri,T Taibu,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.4,Zimbabwe,S Matsikenyeri,T Taibu,Shakib Al Hasan,0,0,,,,,,"",""
ball,1,5.5,Zimbabwe,S Matsikenyeri,T Taibu,Shakib Al Hasan,1,0,,,,,,"",""
ball,1,5.6,Zimbabwe,T Taibu,S Matsikenyeri,Shakib Al Hasan,1,0,,,,,,"",""
ball,1,6.1,Zimbabwe,T Taibu,S Matsikenyeri,Mashrafe Mortaza,1,0,,,,,,"",""
ball,1,6.2,Zimbabwe,S Matsikenyeri,T Taibu,Mashrafe Mortaza,0,0,,,,,,"",""
