version,1.6.0
info,balls_per_over,6
info,team,India
info,team,West Indies
info,gender,male
info,season,2019/20
info,date,2019/12/22
info,event,West Indies tour of India
info,match_number,3
info,venue,Barabati Stadium
info,city,Cuttack
info,toss_winner,India
info,toss_decision,field
info,player_of_match,V Kohli
info,umpire,Nitin Menon
info,umpire,S George
info,reserve_umpire,AK Chaudhary
info,tv_umpire,RJ Tucker
info,match_referee,DC Boon
info,winner,India
info,winner_wickets,4
info,player,West Indies,E Lewis
info,player,West Indies,SD Hope
info,player,West Indies,RL Chase
info,player,West Indies,SO Hetmyer
info,player,West Indies,N Pooran
info,player,West Indies,KA Pollard
info,player,West Indies,JO Holder
info,player,West Indies,KMA Paul
info,player,West Indies,AS Joseph
info,player,West Indies,K Pierre
info,player,West Indies,SS Cottrell
info,player,India,RG Sharma
info,player,India,KL Rahul
info,player,India,V Kohli
info,player,India,SS Iyer
info,player,India,RR Pant
info,player,India,KM Jadhav
info,player,India,RA Jadeja
info,player,India,SN Thakur
info,player,India,Mohammed Shami
info,player,India,Kuldeep Yadav
info,player,India,NA Saini
info,registry,people,AK Chaudhary,fdcc6236
info,registry,people,AS Joseph,b0946605
info,registry,people,DC Boon,e79a1fe3
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,JO Holder,0f721006
info,registry,people,K Pierre,a61bcb94
info,registry,people,KA Pollard,a757b0d8
info,registry,people,KL Rahul,b17e2f24
info,registry,people,KM Jadhav,99d63244
info,registry,people,KMA Paul,75224f22
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,Mohammed Shami,8cf9814c
info,registry,people,N Pooran,3241e3fd
info,registry,people,NA Saini,21d4e29b
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,RA Jadeja,fe93fd9d
info,registry,people,RG Sharma,740742ef
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RL Chase,3feda4fa
info,registry,people,RR Pant,919a3be2
info,registry,people,S George,6d9e5a54
info,registry,people,SD Hope,1fc6ef83
info,registry,people,SN Thakur,1abb78f8
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,SS Cottrell,a1d053dd
info,registry,people,SS Iyer,85ec8e33
info,registry,people,V Kohli,ba607b88
ball,1,0.1,West Indies,E Lewis,SD Hope,SN Thakur,0,0,,,,,,"",""
ball,1,0.2,West Indies,E Lewis,SD Hope,SN Thakur,1,0,,,,,,"",""
ball,1,0.3,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,0.4,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,0.5,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,0.6,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,1.1,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.2,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.3,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.4,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.5,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,1.6,West Indies,E Lewis,SD Hope,Mohammed Shami,0,0,,,,,,"",""
ball,1,2.1,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,2.2,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,2.3,West Indies,SD Hope,E Lewis,SN Thakur,2,0,,,,,,"",""
ball,1,2.4,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,2.5,West Indies,SD Hope,E Lewis,SN Thakur,0,0,,,,,,"",""
ball,1,2.6,West Indies,SD Hope,E Lewis,SN Thakur,1,0,,,,,,"",""
ball,1,3.1,West Indies,SD Hope,E Lewis,Mohammed Shami,1,0,,,,,,"",""
ball,1,3.2,West Indies,E Lewis,SD Hope,Mohammed Shami,1,0,,,,,,"",""
ball,1,3.3,West Indies,SD Hope,E Lewis,Mohammed Shami,2,0,,,,,,"",""
ball,1,3.4,West Indies,SD Hope,E Lewis,Mohammed Shami,4,0,,,,,,"",""
ball,1,3.5,West Indies,SD Hope,E Lewis,Mohammed Shami,0,0,,,,,,"",""
