version,1.6.0
info,balls_per_over,6
info,team,Australia
info,team,England
info,gender,male
info,season,2018
info,date,2018/06/21
info,event,Australia tour of England
info,match_number,4
info,venue,Riverside Ground
info,city,Chester-le-Street
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,JJ Roy
info,umpire,MA Gough
info,umpire,M Erasmus
info,reserve_umpire,RJ Bailey
info,tv_umpire,HDPK Dharmasena
info,match_referee,RS Madugalle
info,winner,England
info,winner_wickets,6
info,player,Australia,AJ Finch
info,player,Australia,TM Head
info,player,Australia,SE Marsh
info,player,Australia,MP Stoinis
info,player,Australia,AC Agar
info,player,Australia,AT Carey
info,player,Australia,TD Paine
info,player,Australia,MG Neser
info,player,Australia,JA Richardson
info,player,Australia,NM Lyon
info,player,Australia,B Stanlake
info,player,England,JJ Roy
info,player,England,JM Bairstow
info,player,England,AD Hales
info,player,England,JE Root
info,player,England,EJG Morgan
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,DJ Willey
info,player,England,C Overton
info,player,England,AU Rashid
info,player,England,MA Wood
info,registry,people,AC Agar,a2421394
info,registry,people,AD Hales,92aeac25
info,registry,people,AJ Finch,b8d490fd
info,registry,people,AT Carey,69d03465
info,registry,people,AU Rashid,249d60c9
info,registry,people,B Stanlake,6834d1f2
info,registry,people,C Overton,e9987a94
info,registry,people,DJ Willey,7f048519
info,registry,people,EJG Morgan,d2a6c0e6
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,JA Richardson,1ee08e9a
info,registry,people,JC Buttler,99b75528
info,registry,people,JE Root,a343262c
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JM Bairstow,abb83e27
info,registry,people,M Erasmus,15d3c895
info,registry,people,MA Gough,76752ac8
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MG Neser,0164b064
info,registry,people,MM Ali,bb351c23
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,NM Lyon,96a6a7ad
info,registry,people,RJ Bailey,6bd04fa5
info,registry,people,RS Madugalle,766b5798
info,registry,people,SE Marsh,508a1ea7
info,registry,people,TD Paine,5748e866
info,registry,people,TM Head,12b610c2
ball,1,0.1,Australia,AJ Finch,TM Head,MA Wood,4,0,,,,,,"",""
ball,1,0.2,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,0.3,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,0.4,Australia,AJ Finch,TM Head,MA Wood,1,0,,,,,,"",""
ball,1,0.5,Australia,TM Head,AJ Finch,MA Wood,0,0,,,,,,"",""
ball,1,0.6,Australia,TM Head,AJ Finch,MA Wood,0,0,,,,,,"",""
ball,1,1.1,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,1.2,Australia,AJ Finch,TM Head,DJ Willey,0,1,,,,1,,"",""
ball,1,1.3,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,1.4,Australia,TM Head,AJ Finch,DJ Willey,1,0,,,,,,"",""
ball,1,1.5,Australia,AJ Finch,TM Head,DJ Willey,3,0,,,,,,"",""
ball,1,1.6,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,2.1,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,2.2,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,2.3,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,2.4,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,2.5,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,2.6,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,3.1,Australia,TM Head,AJ Finch,DJ Willey,4,0,,,,,,"",""
ball,1,3.2,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,3.3,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,3.4,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,3.5,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,3.6,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,4.1,Australia,AJ Finch,TM Head,MA Wood,0,1,1,,,,,"",""
ball,1,4.2,Australia,AJ Finch,TM Head,MA Wood,1,0,,,,,,"",""
ball,1,4.3,Australia,TM Head,AJ Finch,MA Wood,2,0,,,,,,"",""
ball,1,4.4,Australia,TM Head,AJ Finch,MA Wood,1,0,,,,,,"",""
ball,1,4.5,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,4.6,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,4.7,Australia,AJ Finch,TM Head,MA Wood,0,0,,,,,,"",""
ball,1,5.1,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,5.2,Australia,TM Head,AJ Finch,DJ Willey,4,0,,,,,,"",""
ball,1,5.3,Australia,TM Head,AJ Finch,DJ Willey,1,0,,,,,,"",""
ball,1,5.4,Australia,AJ Finch,TM Head,DJ Willey,4,0,,,,,,"",""
ball,1,5.5,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,5.6,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,6.1,Australia,TM Head,AJ Finch,MA Wood,0,0,,,,,,"",""
ball,1,6.2,Australia,TM Head,AJ Finch,MA Wood,4,0,,,,,,"",""
ball,1,6.3,Australia,TM Head,AJ Finch,MA Wood,0,0,,,,,,"",""
ball,1,6.4,Australia,TM Head,AJ Finch,MA Wood,0,0,,,,,,"",""
ball,1,6.5,Australia,TM Head,AJ Finch,MA Wood,2,0,,,,,,"",""
ball,1,6.6,Australia,TM Head,AJ Finch,MA Wood,4,0,,,,,,"",""
ball,1,7.1,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,7.2,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,7.3,Australia,AJ Finch,TM Head,DJ Willey,0,0,,,,,,"",""
ball,1,7.4,Australia,AJ Finch,TM Head,DJ Willey,1,0,,,,,,"",""
ball,1,7.5,Australia,TM Head,AJ Finch,DJ Willey,4,0,,,,,,"",""
ball,1,7.6,Australia,TM Head,AJ Finch,DJ Willey,0,0,,,,,,"",""
ball,1,8.1,Australia,AJ Finch,TM Head,JE Root,0,0,,,,,,"",""
ball,1,8.2,Australia,AJ Finch,TM Head,JE Root,0,1,,,,1,,"",""
ball,1,8.3,Australia,TM Head,AJ Finch,JE Root,0,0,,,,,,"",""
ball,1,8.4,Australia,TM Head,AJ Finch,JE Root,0,0,,,,,,"",""
ball,1,8.5,Australia,TM Head,AJ Finch,JE Root,4,0,,,,,,"",""
