version,1.6.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2010/11
info,date,2011/01/22
info,event,Pakistan in New Zealand ODI Series
info,match_number,1
info,venue,Westpac Stadium
info,city,Wellington
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,TG Southee
info,umpire,CB Gaffaney
info,umpire,AM Saheba
info,reserve_umpire,PD Jones
info,tv_umpire,BG Frost
info,match_referee,AG Hurst
info,winner,New Zealand
info,winner_wickets,9
info,player,New Zealand,MJ Guptill
info,player,New Zealand,JD Ryder
info,player,New Zealand,LRPL Taylor
info,player,New Zealand,SB Styris
info,player,New Zealand,JEC Franklin
info,player,New Zealand,BB McCullum
info,player,New Zealand,JDP Oram
info,player,New Zealand,DL Vettori
info,player,New Zealand,NL McCullum
info,player,New Zealand,TG Southee
info,player,New Zealand,HK Bennett
info,player,Pakistan,Kamran Akmal
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Younis Khan
info,player,Pakistan,Asad Shafiq
info,player,Pakistan,Misbah-ul-Haq
info,player,Pakistan,Umar Akmal
info,player,Pakistan,Shahid Afridi
info,player,Pakistan,Abdul Razzaq
info,player,Pakistan,Abdur Rehman
info,player,Pakistan,Sohail Tanvir
info,player,Pakistan,Shoaib Akhtar
info,registry,people,AG Hurst,ad7945c6
info,registry,people,AM Saheba,883e3818
info,registry,people,Abdul Razzaq,390ff45b
info,registry,people,Abdur Rehman,d094e7d1
info,registry,people,Asad Shafiq,50250426
info,registry,people,BB McCullum,b8a55852
info,registry,people,BG Frost,fd8ffc13
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DL Vettori,d7c6af50
info,registry,people,HK Bennett,94238673
info,registry,people,JD Ryder,91ffa6c6
info,registry,people,JDP Oram,3eac9d95
info,registry,people,JEC Franklin,cf73ad76
info,registry,people,Kamran Akmal,ff077124
info,registry,people,LRPL Taylor,b61a3e1a
info,registry,people,MJ Guptill,2be41edb
info,registry,people,Misbah-ul-Haq,7eae4418
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,NL McCullum,5673a3fc
info,registry,people,PD Jones,169be239
info,registry,people,SB Styris,57efa3be
info,registry,people,Shahid Afridi,0dc00542
info,registry,people,Shoaib Akhtar,10a91f35
info,registry,people,Sohail Tanvir,64d43928
info,registry,people,TG Southee,13c35c9e
info,registry,people,Umar Akmal,fd2bf2a0
info,registry,people,Younis Khan,33cb3411
ball,1,0.1,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,4,0,,,,,,"",""
ball,1,0.3,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,1,0,,,,,,"",""
ball,1,0.4,Pakistan,Mohammad Hafeez,Kamran Akmal,JEC Franklin,0,0,,,,,,"",""
ball,1,0.5,Pakistan,Mohammad Hafeez,Kamran Akmal,JEC Franklin,0,0,,,,,,"",""
ball,1,0.6,Pakistan,Mohammad Hafeez,Kamran Akmal,JEC Franklin,0,0,,,,,,"",""
ball,1,1.1,Pakistan,Kamran Akmal,Mohammad Hafeez,TG Southee,0,1,1,,,,,"",""
ball,1,1.2,Pakistan,Kamran Akmal,Mohammad Hafeez,TG Southee,0,0,,,,,,"",""
ball,1,1.3,Pakistan,Kamran Akmal,Mohammad Hafeez,TG Southee,0,0,,,,,,"",""
ball,1,1.4,Pakistan,Kamran Akmal,Mohammad Hafeez,TG Southee,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Kamran Akmal,Mohammad Hafeez,TG Southee,1,0,,,,,,"",""
ball,1,1.6,Pakistan,Mohammad Hafeez,Kamran Akmal,TG Southee,0,0,,,,,,"",""
ball,1,1.7,Pakistan,Mohammad Hafeez,Kamran Akmal,TG Southee,0,0,,,,,,"",""
ball,1,2.1,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,2.3,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,2.4,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,2.5,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,2.6,Pakistan,Kamran Akmal,Mohammad Hafeez,JEC Franklin,0,0,,,,,,"",""
ball,1,3.1,Pakistan,Mohammad Hafeez,Kamran Akmal,TG Southee,0,0,,,,,,"",""
ball,1,3.2,Pakistan,Mohammad Hafeez,Kamran Akmal,TG Southee,0,0,,,,,,"",""
ball,1,3.3,Pakistan,Mohammad Hafeez,Kamran Akmal,TG Southee,0,0,,,,,,"",""
